rodada,pesos
61,"[ 8.27164068e+165  9.43732180e+167 -5.93199208e+166  1.07804869e+167
  1.28655732e+167  1.56182158e+165 -2.85126623e+168  1.24400580e+168
  9.36465456e+165 -1.75638462e+166  4.33960140e+165 -1.15026882e+167]"
62,"[-3.92167740e+178 -2.48196290e+179 -1.47016857e+178 -1.59108528e+178
 -2.06486189e+179 -2.49335366e+177 -6.63028496e+179 -3.74192273e+180
 -3.90635548e+178 -1.35977618e+179 -3.29167544e+178 -4.53197912e+179]"
63,"[-8.63100678e+161  1.05131781e+163 -9.62982260e+161  1.49307509e+162
  7.87534099e+161  1.58883328e+160 -7.64704102e+163  5.47161669e+163
 -8.41875530e+161 -4.61004215e+162 -1.78429474e+161 -1.60371269e+163]"
64,"[ 4.04049237e+171  3.88840985e+172 -1.87237883e+171 -2.61661356e+171
 -4.63015648e+172  1.62727589e+170 -2.98340754e+173 -7.98204229e+173
  3.95593732e+171  1.11687208e+172  6.58120019e+171  6.99664927e+172]"
65,"[ 3.40192812e+170  1.06675793e+172 -7.12313425e+170  6.86952369e+170
 -8.65445121e+170 -1.61752852e+169  4.17656424e+170 -2.61660048e+172
  3.43688177e+170  5.40131510e+170  3.31776974e+170  3.47558243e+171]"
66,"[ 4.75900642e+172  2.99999256e+173 -1.34244107e+171 -5.12526551e+172
 -2.71357777e+173  6.71121553e+171  6.16108400e+174 -4.60326324e+172
  4.71832177e+172  1.25577536e+173  2.87371396e+171  4.03055975e+173]"
67,"[ 5.70008488e+166  1.11531281e+168  1.14715895e+167  8.52407774e+166
  2.88903380e+167  2.38162004e+163 -2.36048144e+168  4.81026273e+167
  5.77313628e+166  1.28100067e+167  1.79919551e+167  1.47616753e+168]"
68,"[ 1.07153896e+182  3.15668064e+181  9.54785718e+181 -6.95404349e+181
  1.55873241e+182  1.16047180e+181  3.41841026e+183 -1.68574411e+183
  1.06905673e+182  4.00281488e+182  2.29111196e+181  4.91006786e+182]"
69,"[ 7.18528985e+171  1.61437923e+173  3.97166596e+170  8.92676209e+171
  1.68649600e+172 -2.82347358e+170 -6.25463889e+173 -1.56627862e+174
  7.19055999e+171  3.23076232e+171  9.86738865e+171  6.14948605e+172]"
70,"[ 2.11188084e+190 -2.83062162e+190  8.11615533e+190 -5.22528347e+190
 -9.66636219e+190  1.26126318e+189 -1.93400763e+192  4.36418732e+192
  2.06734459e+190  4.07680752e+190 -7.19078097e+190 -6.88890038e+190]"
71,"[ 2.67924039e+170  3.25708901e+171  7.23270498e+169  9.43572960e+169
  2.50881424e+170  2.37810545e+169  4.45185884e+171 -2.25991499e+171
  2.66515686e+170  8.84057699e+170  1.94343895e+170  3.40254172e+171]"
72,"[ 6.98552853e+162  4.91641986e+163  2.57130127e+162  1.30668901e+162
  1.76949382e+163  6.42236342e+161  5.20794452e+163 -1.73671995e+164
  6.96087186e+162  2.49019392e+163  6.07562608e+162  7.51139479e+163]"
73,"[2.10678397e+182 2.25493025e+183 9.09412928e+181 6.88363104e+181
 2.52027544e+182 1.90319304e+181 1.34073208e+183 3.37039250e+183
 2.10022537e+182 6.68364970e+182 1.87293515e+182 2.29709141e+183]"
74,"[-3.28884281e+165 -2.73974108e+166 -8.19582054e+164  4.93608436e+164
 -1.07648962e+166 -1.89077893e+164  7.61174317e+166 -1.10967906e+165
 -3.28692168e+165 -1.12026102e+166 -8.57835614e+164 -3.25634635e+166]"
75,"[ 3.14085174e+159  2.12394685e+160  1.75175161e+159  2.66630512e+159
  2.65781093e+160  1.85180403e+158  5.12080539e+160 -1.16412181e+161
  3.13865707e+159  1.04120358e+160 -1.18884438e+158  1.24366540e+160]"
76,"[ 5.35258892e+169 -1.71324605e+171  3.45625849e+170 -5.93175781e+170
  9.27644233e+170  5.15397317e+168  1.00066297e+172 -1.67091930e+171
  5.51944777e+169  3.10495586e+170  2.00003159e+169 -1.99687779e+171]"
77,"[-4.62468361e+163 -9.84784613e+164  4.96139986e+163 -8.77231732e+163
  3.35497656e+164 -8.83727617e+162  1.99568504e+165  7.56784452e+164
 -4.69863085e+163 -9.59201296e+163 -8.59474172e+163  1.96498225e+164]"
78,"[-5.31224573e+150 -2.85043890e+151 -2.24878845e+150  8.89343669e+149
 -8.43808379e+150 -1.53973686e+149 -6.24194960e+151 -2.76102784e+152
 -5.27986895e+150 -1.91756962e+151 -1.94358511e+150 -4.80079396e+151]"
79,"[-2.26428215e+167 -2.19715314e+168 -1.85698196e+167 -6.59128159e+166
 -7.41387712e+167 -1.56069409e+166  1.08925216e+168 -9.12711098e+167
 -2.26448177e+167 -7.07612227e+167 -1.25935415e+167 -2.40030217e+168]"
80,"[-3.48342899e+173 -2.21099913e+174 -1.35030317e+173 -3.83491736e+172
 -2.73616263e+173 -2.09867627e+172 -5.03183415e+174 -1.71091369e+174
 -3.45590681e+173 -1.19140082e+174 -1.72509567e+173 -4.22809293e+174]"
81,"[ 3.22005301e+179 -1.43042423e+180  2.28746111e+179 -3.30730389e+179
 -5.86076970e+179  5.76823341e+177 -2.86002772e+180  6.60252032e+179
  3.16943353e+179  1.14181412e+180 -1.24139416e+179  1.97882067e+180]"
82,"[-2.87197432e+159 -2.10760603e+160 -1.85975644e+159 -1.09739646e+158
 -8.05331741e+159 -2.03495313e+158 -5.28921645e+160 -2.74198162e+161
 -2.86693413e+159 -1.03875960e+160 -1.44608236e+159 -2.68327837e+160]"
83,"[-2.14050293e+160 -2.11672446e+161 -3.89603049e+159 -1.31934151e+160
 -8.76117945e+159  5.34827166e+158  3.06107301e+161  2.41836824e+161
 -2.12634699e+160 -6.31663132e+160 -2.91178447e+160 -2.41552715e+161]"
84,"[-2.69589989e+178 -1.67092699e+179 -1.31716695e+178 -1.50818506e+178
 -4.73367737e+178 -2.53807962e+177 -1.01339594e+180 -2.75076358e+180
 -2.68816625e+178 -9.71106337e+178 -1.30977652e+178 -2.27249119e+179]"
85,"[ 1.04756677e+159  1.59505666e+160  5.19543172e+158  5.84208482e+158
  1.57307029e+159  8.33356242e+157 -7.53949703e+158 -1.85455505e+160
  1.04871139e+159  3.13624446e+159  6.69036941e+158  1.15440147e+160]"
86,"[2.07259242e+162 1.67815487e+163 8.62739235e+161 1.33819462e+161
 6.65412844e+162 4.01623805e+161 4.77008385e+163 2.56485464e+164
 2.06722804e+162 6.99841772e+162 1.69481944e+162 2.27616268e+163]"
87,"[ 2.84188600e+158  1.43761708e+159  3.87129022e+158 -4.32244417e+158
 -4.31445215e+159  5.53594858e+157  2.13721871e+159  2.28166904e+160
  2.79727044e+158  9.32451095e+158 -4.74163419e+157  3.74305291e+159]"
88,"[ 6.29038807e+168  7.57192533e+169 -3.77419194e+168  5.15565446e+168
 -9.60164813e+168  3.74411133e+167  1.12151161e+171  2.47161147e+171
  6.23645007e+168  1.29773086e+169  2.81709600e+168  4.32480821e+169]"
89,"[-1.59189791e+177 -1.84540831e+178 -5.80483688e+176 -8.67493270e+176
 -2.99321595e+177 -1.00607846e+176 -1.27207040e+178 -1.63907102e+178
 -1.59141548e+177 -5.05644585e+177 -1.03045407e+177 -1.45698378e+178]"
90,"[-4.66028729e+168 -1.33383835e+169 -1.84682384e+168  3.23375458e+167
 -9.28490656e+168 -1.65415452e+167 -8.67660159e+169 -4.81012604e+170
 -4.61112912e+168 -1.71659195e+169 -4.33325432e+168 -6.61770032e+169]"
91,"[-1.69664176e+172 -1.94675018e+173 -4.58013558e+171 -1.11736796e+172
 -2.31626620e+172 -1.42217780e+171 -2.17529810e+173 -2.09950787e+173
 -1.69410694e+172 -5.07313619e+172 -8.20770852e+171 -1.66044078e+173]"
92,"[-3.99881309e+171 -1.83622877e+172 -1.95936085e+171 -2.40704993e+170
 -5.68565681e+171 -1.99458742e+170 -7.73598909e+172 -3.70946636e+172
 -3.96894712e+171 -1.48914525e+172 -2.57193610e+171 -4.65796993e+172]"
93,"[-7.18390787e+175 -6.87408574e+176 -9.94916825e+174 -3.66043268e+175
 -1.56113845e+176 -4.56358479e+174  1.40981260e+177  6.45378377e+176
 -7.15773361e+175 -2.24739719e+176 -7.88604810e+175 -8.65085934e+176]"
94,"[ 4.97284625e+144 -4.32560883e+146 -1.06324232e+145 -4.59193326e+145
 -1.20540700e+146 -1.13574102e+145  5.26486600e+146 -2.76200679e+146
  4.73464601e+144  4.98534478e+145 -1.90173232e+145 -3.84680406e+145]"
95,"[-6.87394138e+178 -4.36333646e+179 -5.35155130e+178  1.96384680e+178
 -1.48759762e+179 -2.41558677e+177 -1.42747754e+180 -2.96931424e+180
 -6.85138881e+178 -2.32222222e+179 -3.92580955e+178 -6.51817789e+179]"
96,"[-6.45885378e+165 -5.26050339e+166 -2.29330496e+165 -1.63344690e+165
 -1.07646881e+166 -2.67495733e+164 -1.69559690e+167 -5.56798871e+167
 -6.41970425e+165 -2.17265187e+166 -2.94087295e+165 -7.71294255e+166]"
97,"[-4.80077476e+180 -3.17835194e+181 -2.20092317e+180 -6.60835988e+179
 -6.28954617e+180 -3.46265787e+179 -6.96253054e+181 -1.90724973e+182
 -4.77562852e+180 -1.59035337e+181 -4.18017402e+180 -4.56485355e+181]"
98,"[-3.06004811e+162  8.26551864e+162 -3.19132184e+162  2.73965119e+162
 -3.65744896e+162 -1.34973021e+161 -4.04421140e+163  3.24571705e+163
 -3.03482920e+162 -1.06595621e+163 -1.72598351e+162 -1.00099207e+163]"
99,"[ 7.80746800e+176  7.52763926e+177 -6.01711661e+176  4.98925048e+176
  2.95747778e+177  5.06278158e+175  7.43552923e+177 -9.37268779e+177
  7.74203152e+176  2.40982133e+177  2.05966385e+176  9.85718795e+177]"
100,"[1.65409382e+167 1.11883117e+168 1.40253012e+167 3.29043808e+166
 2.41767456e+167 6.80936299e+165 3.09101688e+168 2.84194928e+169
 1.64746320e+167 6.09317213e+167 1.26392456e+167 1.98973576e+168]"
