rodada,pesos
67,"[[-1.13155632e+36 -7.77466840e+36 -3.16790990e+35 -3.85799437e+35
  -7.91688136e+36 -5.31813428e+34 -4.40470636e+37 -1.70994813e+38
  -1.12532546e+36 -3.60877746e+36 -5.58700376e+35 -1.17109950e+37]]"
68,"[[-2.42005697e+36 -1.66561435e+37 -6.78881911e+35 -8.19975195e+35
  -1.70013307e+37 -1.14276345e+35 -9.39647846e+37 -3.65674186e+38
  -2.40679215e+36 -7.71457446e+36 -1.19487615e+36 -2.50274503e+37]]"
69,"[[-1.14905216e+35 -7.89345173e+35 -3.21919891e+34 -3.88122186e+34
  -8.02571714e+35 -5.42001663e+33 -4.45894803e+36 -1.73163533e+37
  -1.14272013e+35 -3.66450401e+35 -5.68951389e+34 -1.18947951e+36]]"
70,"[[-1.10657874e+37 -7.61097304e+37 -3.10197696e+36 -3.73056813e+36
  -7.72281105e+37 -5.22398491e+35 -4.26327580e+38 -1.67419893e+39
  -1.10048086e+37 -3.52933291e+37 -5.46992033e+36 -1.14585716e+38]]"
71,"[[-4.24109314e+36 -2.91513424e+37 -1.19177871e+36 -1.43284299e+36
  -2.98297780e+37 -1.99586709e+35 -1.64933835e+38 -6.41784506e+38
  -4.21784519e+36 -1.35271404e+37 -2.09141318e+36 -4.38766423e+37]]"
72,"[[-5.32525896e+36 -3.65977780e+37 -1.49564397e+36 -1.79780970e+36
  -3.71149380e+37 -2.50310568e+35 -2.04963714e+38 -8.04894861e+38
  -5.29583528e+36 -1.69748411e+37 -2.63159690e+36 -5.51296641e+37]]"
73,"[[-8.38051745e+36 -5.75595076e+37 -2.36182647e+36 -2.84598402e+36
  -5.85488099e+37 -3.96175044e+35 -3.26137133e+38 -1.26641672e+39
  -8.33424394e+36 -2.67167218e+37 -4.14144342e+36 -8.67162210e+37]]"
74,"[[-1.81145846e+37 -1.24709360e+38 -5.05573498e+36 -6.14726159e+36
  -1.26355168e+38 -8.50635925e+35 -7.02150281e+38 -2.72834228e+39
  -1.80145337e+37 -5.77589530e+37 -8.94130251e+36 -1.87577440e+38]]"
75,"[[1.84903512e+37 1.26844270e+38 5.19761649e+36 6.25499304e+36
  1.30706667e+38 8.68674637e+35 7.20039835e+38 2.80171120e+39
  1.83887331e+37 5.89457633e+37 9.13623513e+36 1.91427819e+38]]"
76,"[[-1.35452811e+37 -9.31428322e+37 -3.80881348e+36 -4.58017190e+36
  -9.50890535e+37 -6.40139648e+35 -5.28319702e+38 -2.05536962e+39
  -1.34710110e+37 -4.32047334e+37 -6.70587852e+36 -1.40087846e+38]]"
77,"[[9.66541299e+36 6.64469639e+37 2.70733800e+36 3.27443794e+36
  6.71583259e+37 4.54702934e+35 3.69861382e+38 1.45403656e+39
  9.61225814e+36 3.08214856e+37 4.76132280e+36 9.98591466e+37]]"
78,"[[1.37000736e+36 9.42113251e+36 3.85615095e+35 4.63825783e+35
  9.57673249e+36 6.47201874e+34 5.32014194e+37 2.06949396e+38
  1.36247098e+36 4.36786150e+36 6.77886121e+35 1.41750591e+37]]"
79,"[[-1.12523685e+37 -7.73090931e+37 -3.14989922e+36 -3.80828743e+36
  -7.89650943e+37 -5.25655616e+35 -4.36511091e+38 -1.70242268e+39
  -1.11903957e+37 -3.58736275e+37 -5.55090886e+36 -1.16476205e+38]]"
80,"[[-1.23416055e+37 -8.49375068e+37 -3.45031112e+36 -4.19233298e+36
  -8.63432776e+37 -5.79070030e+35 -4.78048923e+38 -1.85880687e+39
  -1.22735185e+37 -3.93469223e+37 -6.09104289e+36 -1.27908418e+38]]"
81,"[[1.65504117e+37 1.13846005e+38 4.63538368e+36 5.62382287e+36
  1.15443180e+38 7.80222909e+35 6.41885290e+38 2.50286828e+39
  1.64589469e+37 5.27697535e+37 8.17992209e+36 1.71501926e+38]]"
82,"[[-8.29367636e+36 -5.69141331e+37 -2.32267977e+36 -2.80302460e+36
  -5.84070323e+37 -3.90928027e+35 -3.20016865e+38 -1.25251669e+39
  -8.24813660e+36 -2.64471542e+37 -4.10249753e+36 -8.57557533e+37]]"
83,"[[-1.72953020e+37 -1.18952226e+38 -4.83720907e+36 -5.85777531e+36
  -1.22971706e+38 -8.13178074e+35 -6.71176942e+38 -2.61323494e+39
  -1.72010528e+37 -5.51281266e+37 -8.52003262e+36 -1.78769113e+38]]"
84,"[[-3.99526958e+36 -2.74808216e+37 -1.11888178e+36 -1.35355398e+36
  -2.80672463e+37 -1.87134703e+35 -1.54714519e+38 -6.01819091e+38
  -3.97328228e+36 -1.27417266e+37 -1.97934630e+36 -4.13820779e+37]]"
85,"[[6.60754126e+36 4.53865816e+37 1.85452987e+36 2.23442386e+36
  4.64635537e+37 3.10906160e+35 2.56277376e+38 9.98972099e+38
  6.57115582e+36 2.10611065e+37 3.25628964e+36 6.84022941e+37]]"
86,"[[5.60993902e+36 3.85756829e+37 1.57005337e+36 1.89282453e+36
  3.93209922e+37 2.64165453e+35 2.18395025e+38 8.48456792e+38
  5.57895858e+36 1.78786882e+37 2.76796852e+36 5.81224207e+37]]"
87,"[[-8.73700958e+36 -6.01179706e+37 -2.44930839e+36 -2.96796693e+36
  -6.14004201e+37 -4.10514368e+35 -3.42359477e+38 -1.32636552e+39
  -8.68899499e+36 -2.78443432e+37 -4.32159526e+36 -9.04146390e+37]]"
88,"[[-1.25307847e+36 -8.60223953e+36 -3.52454351e+35 -4.21841234e+35
  -8.84372155e+36 -5.90003412e+34 -4.83682279e+37 -1.89575264e+38
  -1.24621032e+36 -3.99606812e+36 -6.18986432e+35 -1.29641264e+37]]"
89,"[[8.62139771e+36 5.91781150e+37 2.42141157e+36 2.93957921e+36
  6.06917854e+37 4.07967993e+35 3.34302282e+38 1.30646736e+39
  8.57412898e+36 2.74867645e+37 4.26906189e+36 8.91275201e+37]]"
90,"[[-5.38599241e+36 -3.69987935e+37 -1.51726153e+36 -1.81877936e+36
  -3.80351274e+37 -2.54314543e+35 -2.08766116e+38 -8.13669627e+38
  -5.35655055e+36 -1.71652200e+37 -2.66450787e+36 -5.56715508e+37]]"
91,"[[-1.15435697e+37 -7.94000631e+37 -3.23408988e+36 -3.89596960e+36
  -8.14533295e+37 -5.43057272e+35 -4.48931126e+38 -1.75038209e+39
  -1.14805657e+37 -3.68308111e+37 -5.70501554e+36 -1.19302273e+38]]"
92,"[[1.51292711e+37 1.04001702e+38 4.24201067e+36 5.14114325e+36
  1.06677012e+38 7.12105972e+35 5.87556441e+38 2.28621074e+39
  1.50462199e+37 4.82262696e+37 7.48814253e+36 1.56508756e+38]]"
93,"[[-1.87557820e+37 -1.28805886e+38 -5.25505799e+36 -6.34307921e+36
  -1.31370451e+38 -8.85333419e+35 -7.28372872e+38 -2.83502080e+39
  -1.86524206e+37 -5.98117026e+37 -9.27036700e+36 -1.94309445e+38]]"
94,"[[1.25245144e+37 8.60319729e+37 3.49682354e+36 4.24283416e+36
  8.84627583e+37 5.88561455e+35 4.85115302e+38 1.89495352e+39
  1.24560265e+37 3.99573244e+37 6.19636639e+36 1.29510929e+38]]"
95,"[[5.93516994e+36 4.07905346e+37 1.66524400e+36 1.99682316e+36
  4.19925432e+37 2.78618390e+35 2.27480106e+38 8.94804005e+38
  5.90267882e+36 1.89098576e+37 2.94058640e+36 6.13910316e+37]]"
96,"[[2.53295219e+36 1.74282725e+37 7.09405023e+35 8.56948323e+35
  1.76919976e+37 1.18580163e+35 9.80856416e+37 3.82183612e+38
  2.51898755e+36 8.07692489e+36 1.25570015e+36 2.62416134e+37]]"
97,"[[-3.85493417e+36 -2.64747134e+37 -1.08325726e+36 -1.29671654e+36
  -2.69888627e+37 -1.81585510e+35 -1.50517739e+38 -5.85558799e+38
  -3.83372407e+36 -1.22893974e+37 -1.90438546e+36 -3.98616816e+37]]"
98,"[[-8.23921520e+36 -5.66606175e+37 -2.30865579e+36 -2.78860702e+36
  -5.80402197e+37 -3.87476469e+35 -3.18988914e+38 -1.24494636e+39
  -8.19409507e+36 -2.62758679e+37 -4.06765790e+36 -8.52447778e+37]]"
99,"[[7.94188109e+36 5.45971227e+37 2.22958963e+36 2.68129536e+36
  5.56802010e+37 3.74754057e+35 3.08082594e+38 1.20236963e+39
  7.89813759e+36 2.53085341e+37 3.92209249e+36 8.22116848e+37]]"
100,"[[4.63620149e+36 3.19245511e+37 1.30438537e+36 1.56842235e+36
  3.27259984e+37 2.18028059e+35 1.79079425e+38 7.01094848e+38
  4.61079567e+36 1.47791457e+37 2.28809148e+36 4.79981647e+37]]"
